,network_structure,loss,acc,f1
0,10,0.730383159750599,0.7175141290082769,0.7150332793897151
1,25,0.7319688574742462,0.7175141290082769,0.7183322057016892
2,50,0.6780293782552084,0.7909604513039024,0.789842690619313
3,100,0.7040327730151893,0.7740113014555247,0.7702940676525581
4,500,0.7294007068299978,0.7740113041495199,0.7735342326178927
5,1000,0.7326527611683991,0.7853107391777685,0.7843196877804139
6,10 25,0.7533101375493626,0.7344632761626594,0.735124352192365
7,10 50,0.7944344100305589,0.7401129963707789,0.7380079294089409
8,10 100,0.7173575078700222,0.7401129879520438,0.7386308659893567
9,10 500,0.840371624561353,0.7118644030754175,0.7136012814911897
10,10 1000,0.7395201722780863,0.7401129936767836,0.7379002989902029
11,25 10,0.8118465896380149,0.7514124313990275,0.7519104328792462
12,25 50,0.8431800634174024,0.751412436787018,0.7511939629688317
13,25 100,0.7112129509112256,0.779661018969649,0.7782240105402379
14,25 500,0.9097837236641491,0.7175141205895419,0.7190633440633439
15,25 1000,0.7183155538672108,0.7627118664272761,0.7623436198067246
16,50 10,0.7330611344784667,0.7570621516071471,0.7578220571128372
17,50 25,0.7096669242880439,0.8079096122650103,0.8055181681653218
18,50 100,0.756200189644334,0.7514124229802923,0.7501400560224089
19,50 500,0.7810121054029734,0.7457627192728937,0.7471868029604035
20,50 1000,0.8175034980989445,0.7457627192728937,0.7441130298273156
21,100 10,0.7703930203524013,0.7457627054661681,0.7445986297471446
22,100 25,0.7034787259532906,0.7740112960675342,0.7738755696453339
23,100 50,0.73252896265795,0.7627118718152666,0.7636959370904325
24,100 500,0.8023505668855656,0.7457627054661681,0.7394379189471744
25,100 1000,0.8749239619842357,0.7401129879520438,0.7389455782312925
26,500 10,0.78769958356006,0.7288135636997761,0.7250481032659252
27,500 25,0.8448565114015913,0.7288135583117857,0.7288718168251807
28,500 50,0.7981651819358437,0.7627118718152666,0.7631784476328375
29,500 100,0.8631705746138837,0.7231638465224013,0.7176120448179272
30,500 1000,1.0251689812557845,0.7231638407976614,0.7178854467253434
31,1000 10,0.8736187111859941,0.7175141259775324,0.7183588781148994
32,1000 25,0.8884901421218269,0.7627118664272761,0.761797683469165
33,1000 50,0.9792754347041502,0.7231638354096709,0.7220468061438412
34,1000 100,1.0635939688332336,0.7231638354096709,0.7214154870306686
35,1000 500,1.1670619262813848,0.7231638461856519,0.7182836921947353
36,10 25 50,0.7189683705399939,0.7344632842446451,0.7357743502603316
37,10 25 100,0.8014964707153666,0.7062146909492838,0.7027877817793784
38,10 25 500,0.7800203578620307,0.7401129990647741,0.7403787938613808
39,10 25 1000,0.8310793055652899,0.7231638461856519,0.7166027413552166
40,10 50 25,0.8796917462753038,0.700564968047169,0.7029216114316577
41,10 50 100,0.8262260303658954,0.7175141232835371,0.7157092633798648
42,10 50 500,0.8289663468377065,0.6553672333221651,0.6498420040494405
43,10 50 1000,0.7500618992552246,0.7570621489131518,0.7557098837119276
44,10 100 25,0.7779543426750744,0.7175141232835371,0.7162231559290383
45,10 100 50,0.8773295572922055,0.7062146855612933,0.7089902850772417
46,10 100 500,0.7472227323526717,0.7288135529237952,0.730172792050598
47,10 100 1000,0.832708547681065,0.7118644030754175,0.7101127098169808
48,10 500 25,0.9240545563105136,0.7175141178955466,0.7162180814354727
49,10 500 50,0.8049050505551915,0.7457627165788985,0.7466143615052747
50,10 500 100,0.8148382373448819,0.706214682867298,0.7047082710799524
51,10 500 1000,0.8164418403711696,0.7118644057694128,0.7113182380115818
52,10 1000 25,0.7309657102924282,0.7062146855612933,0.7031138022318753
53,10 1000 50,0.7768853835466891,0.7231638381036661,0.721285930206118
54,10 1000 100,0.7431730533723777,0.7740112987615294,0.7692931026264359
55,10 1000 500,0.8435696979700509,0.69491525322704,0.6929256686612705
56,25 10 50,0.7890221698809479,0.7514124340930227,0.7533463287849252
57,25 10 100,0.8299379523864574,0.73446327582591,0.7321316000561283
58,25 10 500,0.7790788701698605,0.7118644141881479,0.7016177043510776
59,25 10 1000,0.7944653855878755,0.7627118664272761,0.7624649859943977
60,25 50 10,0.7035188126025227,0.7457627192728937,0.7445721583652617
61,25 50 100,0.7263631807208735,0.7514124287050322,0.7513911322041554
62,25 50 500,0.9111777725866286,0.6723163912525285,0.6644292872736323
63,25 50 1000,0.7057635248717615,0.7514124313990275,0.7528029907577746
64,25 100 10,0.735972326017369,0.740112990646039,0.7383210396909027
65,25 100 50,0.7787034818008121,0.745762711190908,0.7435124483322119
66,25 100 500,0.8293854503308312,0.751412436787018,0.7478323856828529
67,25 100 1000,0.8093457440871977,0.7231638465224013,0.7182151891511497
68,25 500 10,0.8779973862534862,0.7344632839078957,0.729260935143288
69,25 500 50,0.8995612772171107,0.7401129879520438,0.7394969596462134
70,25 500 100,0.8171445353556488,0.7344632815506499,0.7337548296452406
71,25 500 1000,0.7987827294963902,0.7288135529237952,0.7268928051106269
72,25 1000 10,0.8042026283377308,0.7457627192728937,0.7430381267347178
73,25 1000 50,0.8960717263194801,0.7570621543011423,0.7532777567260327
74,25 1000 100,0.7219570838125412,0.7627118691212713,0.7592964466282134
75,25 1000 500,0.8670046969322162,0.6949152589517799,0.689020668716002
76,50 10 25,0.7938442701673777,0.7401129990647741,0.7386741031600845
77,50 10 100,0.8009786949319354,0.7457627054661681,0.7463022889745149
78,50 10 500,0.7233668535442676,0.7909604459159119,0.7924360931143748
79,50 10 1000,0.7903313229313005,0.7457627054661681,0.7446061372983234
80,50 25 10,0.7701824691336033,0.7175141290082769,0.7120642701525054
81,50 25 100,0.7784306194822667,0.7118644141881479,0.7024458420684835
82,50 25 500,0.9326962481784282,0.706214682867298,0.7052499804727494
83,50 25 1000,0.9099459803037051,0.7288135583117857,0.7283713485394158
84,50 100 10,0.8003221750259399,0.751412436787018,0.7508176883492984
85,50 100 25,0.7754814644991341,0.7175141259775324,0.7175015948065594
86,50 100 500,0.9655311201925332,0.6723163804765475,0.6698425111328338
87,50 100 1000,0.87511978748828,0.7683615839414004,0.7635906242008876
88,50 500 10,0.7597982290774415,0.7457627165788985,0.7449572892252739
89,50 500 25,0.8396044033395369,0.7288135610057809,0.7294249042870214
90,50 500 100,0.8737259537486707,0.7514124229802923,0.7464142705271004
91,50 500 1000,1.051678341660796,0.7288135556177905,0.7296668618647928
92,50 1000 10,0.9925491412480673,0.7288135610057809,0.7292685845650785
93,50 1000 25,0.951641980537587,0.7175141317022722,0.7152994531145791
94,50 1000 100,0.8980695999274819,0.7175141317022722,0.7164781728382511
95,50 1000 500,1.127430115715932,0.7231638407976614,0.71749431253805
96,100 10 25,0.7398716393163649,0.7683615839414004,0.7665461254768343
97,100 10 50,0.8170900122594025,0.7457627108541586,0.7465297860034701
98,100 10 500,0.9434882941219093,0.740112990646039,0.7361278259391467
99,100 10 1000,0.8888535364872991,0.7570621543011423,0.7530735930735931
100,100 25 10,0.8050987262510311,0.7401129933400342,0.7365051844297127
101,100 25 50,0.7385612608349256,0.7683615785534099,0.7682248434542012
102,100 25 500,0.8836414005796788,0.740112990646039,0.7396067533998569
103,100 25 1000,1.1262404891730702,0.7005649734351594,0.6993171799127788
104,100 50 10,0.8271342057966243,0.7288135613425303,0.7307256235827664
105,100 50 25,0.7682883944888573,0.7627118664272761,0.7643884297070743
106,100 50 500,0.8989459976638104,0.740112990646039,0.7372269047026329
107,100 50 1000,0.8329211965119098,0.7683615758594147,0.7692051275930791
108,100 500 10,0.8269853595286439,0.7457627054661681,0.7426213428039912
109,100 500 25,0.9032475847308918,0.7627118610392856,0.7609018765954265
110,100 500 50,0.8782531029760501,0.7514124229802923,0.7485247051308681
111,100 500 1000,1.1272451648604398,0.7062146855612933,0.6961920408908361
112,100 1000 10,1.0265858227250266,0.7344632842446451,0.7348869521283315
113,100 1000 25,0.9399243000536989,0.7570621516071471,0.7510478199718705
114,100 1000 50,0.9915184819765683,0.7627118718152666,0.7577342047930283
115,100 1000 500,1.0804777104975813,0.7570621404944167,0.7567805541390448
116,500 10 25,0.8743034015267582,0.7401129879520438,0.7319734083636765
117,500 10 50,0.9274225100285589,0.7683615755226653,0.7616975664781233
118,500 10 100,1.0058918753586246,0.7288135529237952,0.723128111250281
119,500 10 1000,1.1170008882964397,0.7231638354096709,0.7199442468118745
120,500 25 10,0.8512844069529388,0.7457627138849032,0.7455659184954145
121,500 25 50,0.8504636018289684,0.7570621431884119,0.7540342257323389
122,500 25 100,0.9435784210593013,0.7457627081601633,0.745294117647059
123,500 25 1000,1.0956323476834486,0.7175141259775324,0.7164743443060596
124,500 50 10,0.9019678891715357,0.7401129879520438,0.7409709777697621
125,500 50 25,0.9748062885413735,0.7457627081601633,0.7415489493288355
126,500 50 100,0.9222441628827887,0.7344632815506499,0.7299941498557182
127,500 50 1000,1.1312778669562042,0.7570621543011423,0.7549942974235431
128,500 100 10,0.9648044607733602,0.7288135667305208,0.7290083005679335
129,500 100 25,1.0834984610983207,0.7570621543011423,0.7514373724038926
130,500 100 50,0.9903262658307781,0.73446327582591,0.7324699110413397
131,500 100 1000,1.3653223440472015,0.7062146966740236,0.7047619047619046
132,500 1000 10,0.8685577023500777,0.7344632731319147,0.73680369474762
133,500 1000 25,0.9830362493708983,0.7570621516071471,0.7567835214894038
134,500 1000 50,1.1888455893360288,0.7457627081601633,0.7401412963456121
135,500 1000 100,1.2503145690691673,0.7175141232835371,0.7122297825446252
136,1000 10 25,0.8400571049943482,0.7683615785534099,0.7671381571209173
137,1000 10 50,0.8832495441544528,0.7514124229802923,0.7503763231042475
138,1000 10 100,0.8852566339201846,0.7401130017587694,0.740165086055497
139,1000 10 500,1.0881315732406358,0.7062146966740236,0.691792271557334
140,1000 25 10,0.8762087310101353,0.7288135610057809,0.726640324582917
141,1000 25 50,1.0405087066909013,0.7457627081601633,0.7422384406301151
142,1000 25 100,1.0314659850072052,0.7740112987615294,0.7667253176930595
143,1000 25 500,1.0592832093858449,0.7514124256742876,0.7500186955026099
144,1000 50 10,0.8930521098907385,0.7457627081601633,0.7457886934842666
145,1000 50 25,1.0184356587081305,0.7457627192728937,0.7436121308508546
146,1000 50 100,1.0722639116190247,0.7401129879520438,0.7358137981700393
147,1000 50 500,1.004693848265093,0.7570621404944167,0.7549234483196748
148,1000 100 10,0.9181504431417433,0.7570621543011423,0.753634788766233
149,1000 100 25,1.1106918585502494,0.7062146882552885,0.7026179865804778
150,1000 100 50,1.0720850148443448,0.7344632815506499,0.7300455535749654
151,1000 100 500,1.4148909735814326,0.706214682867298,0.7086217360337858
152,1000 500 10,1.2621341586786474,0.7231638407976614,0.7181822269325883
153,1000 500 25,1.2060297700644886,0.7627118637332808,0.7605767809365633
154,1000 500 50,1.1484167353581574,0.7683615839414004,0.7684886113278248
155,1000 500 100,1.005726623669856,0.7514124313990275,0.7481911123957564
156,10 25 50 100,0.8412365317344666,0.7344632731319147,0.7334202886426141
157,10 25 50 500,0.8176477157463462,0.7344632815506499,0.7319350059260906
158,10 25 50 1000,0.7831443467382657,0.7288135529237952,0.7267121490422461
159,10 25 100 50,0.8326339364725318,0.7344632842446451,0.7288820433833911
160,10 25 100 500,0.6898622522919865,0.785310733789778,0.7864799969017467
161,10 25 100 1000,0.9014159740701233,0.6553672252401794,0.6494206718170884
162,10 25 500 50,0.7941588756054808,0.7175141178955466,0.7148052867477328
163,10 25 500 100,0.8145380798032729,0.6949152586150305,0.697657143218096
164,10 25 500 1000,0.9163963949612979,0.672316385864538,0.6624382090401508
165,10 25 1000 50,0.9283613512071512,0.6666666710444089,0.6648148148148147
166,10 25 1000 100,0.7840398129096813,0.7005649791598993,0.6885822510822511
167,10 25 1000 500,0.8847762763836963,0.7344632704379195,0.7303103426916838
168,10 50 25 100,0.7836700206422537,0.7401129963707789,0.7400623220988886
169,10 50 25 500,0.9091648752406493,0.7288135636997761,0.7263619315339312
170,10 50 25 1000,0.8151915575151389,0.7344632815506499,0.7337922724778493
171,10 50 100 25,0.8482524392295019,0.6836158239235313,0.6773709239017359
172,10 50 100 500,0.8901822607396013,0.7401129909827884,0.7407858096509633
173,10 50 100 1000,0.8507289475640335,0.7231638465224013,0.7225324928692003
174,10 50 500 25,0.7572277104113735,0.7570621462191566,0.7579365079365079
175,10 50 500 100,0.8135806618437256,0.745762711190908,0.7454212660720797
176,10 50 500 1000,0.8850548775856104,0.7175141317022722,0.7163464818169909
177,10 50 1000 25,0.8546035741008607,0.6949152505330447,0.6928807060386007
178,10 50 1000 100,0.8169930732182864,0.7231638465224013,0.7256639925738778
179,10 50 1000 500,0.8427487399618504,0.6666666740751536,0.65635701964744
180,10 100 25 50,0.834253341464673,0.6949152559210352,0.6936595814091767
181,10 100 25 500,0.7701259521441272,0.7288135556177905,0.726888582898025
182,10 100 25 1000,0.8598128486487825,0.7231638492163965,0.7243763112983913
183,10 100 50 25,0.8003554468774526,0.6949152589517799,0.680627040177602
184,10 100 50 500,0.7914921146328167,0.7344632842446451,0.7342650459301058
185,10 100 50 1000,0.8075474813833075,0.7344632815506499,0.7335792090509073
186,10 100 500 25,0.8647427801358498,0.6666666629624232,0.660112958226769
187,10 100 500 50,0.8994833985290959,0.6836158266175265,0.686935875623544
188,10 100 500 1000,0.8130100079848941,0.7175141205895419,0.7122028798624543
189,10 100 1000 25,0.82471061123293,0.6836158128108009,0.6813723637011496
190,10 100 1000 50,0.8897445663220465,0.683615821229536,0.6864585787586063
191,10 100 1000 500,0.8321700749424218,0.7288135667305208,0.7253369066684098
192,10 500 25 50,0.8194073778761308,0.7175141232835371,0.7186578689920154
193,10 500 25 100,0.8418972559567899,0.7344632704379195,0.731511665068712
194,10 500 25 1000,0.8193612129001294,0.7175141178955466,0.7158427768435077
195,10 500 50 25,0.816995567521133,0.7175141178955466,0.7193010537548353
196,10 500 50 100,0.7894005469009702,0.6779661091034022,0.6757835551908111
197,10 500 50 1000,0.9193809867578712,0.7175141232835371,0.7179851791502277
198,10 500 100 25,0.800149691643688,0.7005649653531737,0.6887864782131349
199,10 500 100 50,0.7667762145484235,0.7401130017587694,0.7406084656084655
200,10 500 100 1000,0.8484939781285948,0.7288135667305208,0.7257145169013216
201,10 500 1000 25,0.8552041518486152,0.7288135556177905,0.7256714203530444
202,10 500 1000 50,0.760143192137702,0.7288135529237952,0.7266566956189009
203,10 500 1000 100,0.831118958818037,0.7288135640365255,0.7288113243268493
204,10 1000 25 50,0.9082689002408819,0.7288135613425303,0.7282521689412583
205,10 1000 25 100,0.9327972059869497,0.7118644141881479,0.7113380348674466
206,10 1000 25 500,0.8089833801749062,0.7570621543011423,0.7561555192424053
207,10 1000 50 25,0.7945506198931549,0.7062146882552885,0.7056004791853847
208,10 1000 50 100,0.8059807473656821,0.7344632731319147,0.7333241400636425
209,10 1000 50 500,0.7447019643702749,0.7570621543011423,0.7572929565837366
210,10 1000 100 25,0.7505537173842306,0.7344632761626594,0.7341221845938827
211,10 1000 100 50,0.7910885349505365,0.7457627165788985,0.7412481894833768
212,10 1000 100 500,0.8532481813161387,0.69491525322704,0.683756959573953
213,10 1000 500 25,0.8584751328506038,0.7231638354096709,0.722118876782709
214,10 1000 500 50,0.9503499518680034,0.6892655387436603,0.6797243706807032
215,10 1000 500 100,0.7282656225780982,0.7514124313990275,0.7521785068514041
216,25 10 50 100,0.9327322210969224,0.7118644030754175,0.7105781000635275
217,25 10 50 500,0.7853007545578952,0.700564968047169,0.7001633986928105
218,25 10 50 1000,0.8035470429113356,0.7005649707411642,0.6986736428377346
219,25 10 100 50,0.782589733263867,0.7288135667305208,0.7284343003767465
220,25 10 100 500,0.8879498135572099,0.7514124229802923,0.746606334841629
221,25 10 100 1000,0.8908636479054467,0.7175141290082769,0.7158481365377917
222,25 10 500 50,0.8173033069756072,0.7005649764659041,0.6939084035792114
223,25 10 500 100,0.730313159314926,0.7288135667305208,0.7266751028155647
224,25 10 500 1000,0.8607075517460451,0.7231638434916566,0.7190978803128335
225,25 10 1000 50,0.8370300618942175,0.7401129879520438,0.7409631240915728
226,25 10 1000 100,0.797342915656203,0.7062146966740236,0.7029700936978566
227,25 10 1000 500,0.8201569150396659,0.7344632785199052,0.7316993464052288
228,25 50 10 100,0.7936745727129575,0.7401129933400342,0.7369383189517418
229,25 50 10 500,0.7889876567711265,0.7231638465224013,0.7252619998841988
230,25 50 10 1000,0.8761782423924591,0.6836158128108009,0.6786800334168754
231,25 50 100 10,0.822652809363974,0.73446327582591,0.7330301041498729
232,25 50 100 500,0.8857060630442732,0.7570621462191566,0.7572544874703148
233,25 50 100 1000,0.8690743567579884,0.7231638492163965,0.7220211356902003
234,25 50 500 10,0.819414517973776,0.7570621404944167,0.7536774470670017
235,25 50 500 100,0.8301820771842353,0.7175141317022722,0.7187034114240656
236,25 50 500 1000,0.8842762365179547,0.745762711190908,0.7457357457357457
237,25 50 1000 10,0.7806585431098938,0.7457627054661681,0.7437192437192436
238,25 50 1000 100,0.815306808315428,0.711864408463408,0.7077894340551539
239,25 50 1000 500,0.9472874807099164,0.6836158151680467,0.678359790313222
240,25 100 10 50,0.8371896928986587,0.7175141232835371,0.7168545356951155
241,25 100 10 500,0.8233057300923234,0.7344632788566546,0.7376411872865773
242,25 100 10 1000,0.8823743240307953,0.7118644057694128,0.7057440194620894
243,25 100 50 10,0.8028369896155966,0.7570621404944167,0.7551721796279641
244,25 100 50 500,0.8236696524808635,0.7231638381036661,0.7208868086851027
245,25 100 50 1000,0.8260825475056967,0.6949152616457751,0.6891006842619746
246,25 100 500 10,0.8501465731421433,0.7005649791598993,0.702839756592292
247,25 100 500 50,0.8033935134693727,0.73446327582591,0.7283476658476659
248,25 100 500 1000,0.8881834280692925,0.7005649734351594,0.7001311924700553
249,25 100 1000 10,0.984923201092219,0.6497175104200503,0.638420632866375
250,25 100 1000 50,0.9241707112829564,0.7288135667305208,0.729233580753777
251,25 100 1000 500,0.9280545879892037,0.7514124313990275,0.7504897116547603
252,25 500 10 50,0.8966729923830195,0.672316385864538,0.6724677737958603
253,25 500 10 100,0.8440198992605263,0.7231638492163965,0.7231847661355401
254,25 500 10 1000,0.8022000116143523,0.7288135556177905,0.727987147987148
255,25 500 50 10,0.8622557396269114,0.7401129909827884,0.7412265814781538
256,25 500 50 100,1.0350932529417134,0.7175141178955466,0.7129411764705882
257,25 500 50 1000,1.1021928497626956,0.6949152559210352,0.6953383357464867
258,25 500 100 10,0.7624150891761995,0.7740112987615294,0.7732098765432099
259,25 500 100 50,0.8508511646992742,0.7683615866353957,0.7676310555743179
260,25 500 100 1000,0.7844815048794288,0.7570621543011423,0.7553669595923117
261,25 500 1000 10,0.985949002416794,0.6949152478390495,0.6923795027904617
262,25 500 1000 50,0.907295121311468,0.7457627081601633,0.7389964470959285
